ecotypeid,flowering_time_16
1158,88
1254,106
1257,93.25
1317,102
1552,115.3333333
5830,75.33333333
5831,93
5832,87.33333333
6009,113.5
6011,112.5
6012,125
6013,93
6016,83.5
6017,104
6020,87.25
6021,87
6030,129
6034,80.5
6035,73.75
6036,86.33333333
6038,77.25
6039,62
6041,51.5
6042,43
6043,130.6666667
6046,117
6064,129.5
6069,139
6070,119.3333333
6071,139.5
6073,96.5
6074,85.75
6086,100.75
6088,128
6153,116
6169,113.5
6172,114
6173,101
6174,128
6177,105.5
6180,41.25
6184,103.6666667
6209,107
6210,125
6217,127
6218,137
6220,117.3333333
6221,110
6237,109
6238,124
6240,125.6666667
6241,117.5
6244,108.25
6413,95
6900,121.5
6901,117
6973,46.25
6974,125.25
7354,108.3333333
8222,93.25
8230,103
8231,108.6666667
8234,92.75
8242,132
8247,94.66666667
8249,88
8256,45.25
8259,65.5
8306,95
8307,64.25
8326,58
8351,97.5
8376,104
8386,49
8387,48.33333333
8422,116.25
8426,40.25
9057,67.5
9058,123
9321,140
9323,80.75
9332,129
9336,66.75
9339,116.5
9343,88
9352,134.3333333
9353,134
9369,71.25
9371,145
9386,107.75
9388,137
9390,55
9391,64.5
9392,59
9394,110.5
9395,118.25
9402,78.75
9408,124
9409,119.25
9412,64
9413,75
9416,129
9427,119.5
9433,137
9436,77.5
9437,90
9450,78.5
9451,113.6666667
9452,103
9453,129.5
9454,138
9455,102.75
9470,90.5
