ecotypeid,flowering_time_16
770,72.25
801,88.25
991,106.75
1062,68.25
1367,88.75
1853,69.33333333
2016,69.75
4807,87.5
4884,49.5
5349,97.33333333
5353,62.5
5486,37.5
5644,46.25
5741,88.5
5768,85.0
5784,69.25
5830,75.33333333
5832,87.33333333
5964,56.5
5993,64.75
6009,113.5
6021,87.0
6023,89.25
6034,80.5
6036,86.33333333
6038,77.25
6039,62.0
6073,96.5
6086,100.75
6090,105.0
6094,92.66666667
6118,99.25
6126,89.0
6128,113.0
6129,131.0
6140,103.25
6151,103.33333329999999
6153,116.0
6171,108.0
6172,114.0
6174,128.0
6192,63.0
6194,91.5
6202,128.0
6217,127.0
6218,137.0
6237,109.0
6242,86.5
6243,43.75
6244,108.25
6413,95.0
6744,47.25
6901,117.0
6925,75.5
6992,54.25
7003,51.0
7008,95.0
7025,52.66666667
7036,50.5
7072,62.0
7103,36.75
7109,45.75
7138,68.5
7207,49.75
7218,51.25
7223,54.75
7231,45.33333333
7236,47.5
7255,47.33333333
7308,54.5
7319,52.75
7320,74.5
7333,39.75
7344,47.66666667
7346,58.66666667
7349,52.75
7383,38.0
7384,65.75
7387,41.25
7460,37.0
7516,117.0
8132,67.33333333
8173,44.0
8231,108.66666670000001
8233,69.25
8234,92.75
8247,94.66666667
8264,63.5
8269,65.33333333
8301,44.5
8307,64.25
8308,41.5
8322,48.5
8332,48.75
8347,56.0
8351,97.5
8354,58.75
8375,64.25
8380,53.5
8420,47.5
8428,41.5
9057,67.5
9067,130.0
9090,122.0
9096,121.33333329999999
9130,63.25
9131,63.5
9321,140.0
9371,145.0
9395,118.25
9427,119.5
9434,102.25
9436,77.5
9470,90.5
9481,121.0
9506,69.0
9517,35.75
9521,68.0
9525,81.25
9534,65.66666667
9535,89.0
9538,98.0
9540,88.25
9543,89.66666667
9559,66.5
9560,53.75
9562,83.5
9573,60.0
9578,59.25
9603,98.0
9617,66.0
9630,79.5
9631,140.0
9634,98.0
9635,84.66666667
9637,82.5
9638,87.66666667
9640,80.75
9641,87.66666667
9649,67.25
9672,90.5
9675,117.0
9679,79.75
9684,89.5
9688,74.0
9689,83.0
9705,67.0
9706,78.66666667
9709,73.5
9715,81.0
9721,78.0
9724,81.5
9730,97.0
9733,83.75
9737,63.66666667
9738,73.75
9739,68.5
9752,100.25
9770,44.75
9772,40.75
9783,66.33333333
9789,42.25
9804,45.75
9808,53.0
9812,45.75
9813,45.5
9814,48.33333333
9816,39.0
9817,63.75
9823,42.0
9827,60.0
9832,90.33333333
9839,115.0
9840,120.5
9846,119.66666670000001
9852,67.33333333
9853,35.5
9864,57.25
9874,56.25
9890,94.33333333
9893,52.5
9894,76.66666667
9903,108.75
9906,80.0
9911,44.5
9925,79.0
9937,47.75
9938,74.0
9958,76.5
9961,81.5
9962,71.75
9970,81.75
9979,68.5
9987,82.25
9997,51.5
9998,46.25
10001,49.5
10003,57.66666667
10013,100.0
10022,45.25
